1,1,Help Wanted/Reef Blower/Tea at the Treedome
1,2,BubbleStand/Ripped Pants
1,3,Jellyfishing/Plankton!
1,4,Naughty Nautical Neighbors/Boating School
1,5,Pizza Delivery/Home Sweet Pineapple
1,6,Mermaidman and Barnacleboy/Pickles
1,7,Hall Monitor/Jellyfish Jam
1,8,Sandy's Rocket/Squeaky Boots
1,9,Nature Pants/Opposite Day
1,10,Culture Shock/F.U.N.
1,11,MuscleBob BuffPants/Squidward the Unfriendly Ghost
1,12,The Chaperone/Employee of the Month
1,13,Scaredy Pants/I Was a Teenage Gary
1,14,SB-129/Karate Choppers
1,15,Sleepy Time/Suds
1,16,Valentine's Day/The Paper
1,17,Arrgh!/Rock Bottom
1,18,Texas/Walking Small
1,19,Fools in April/Neptune's Spatula
1,20,Hooky/Mermaidman and Barnacleboy II
2,1,Your Shoe's Untied/Squid's Day Off
2,2,Something Smells/Bossy Boots
2,3,Big Pink Loser/Bubble Buddy
2,4,Dying for Pie/Imitation Krabs
2,5,Wormy/Patty Hype
2,6,Grandma's Kisses/Squidville
2,7,PreHibernation Week/Life of Crime
2,8,Christmas Who?
2,9,Survival of the Idiots/Dumped
2,10,No Free Rides/I'm Your Biggest Fanatic
2,11,Mermaidman and Barnacleboy III/Squirrel Jokes
2,12,Pressure/The Smoking Peanut
2,13,Shanghaied/Gary Takes a Bath
2,14,Welcome to the Chum Bucket/Frankendoodle
2,15,The Secret Box/Band Geeks
2,16,Graveyard Shift/Krusty Love
2,17,Procrastination/I'm with Stupid
2,18,Sailor Mouth/Artist Unknown
2,19,Jellyfish Hunter/The Fry Cook Games
2,20,"Sandy, SpongeBob, and the Worm/Squid on Strike"
3,1,The Algae's Always Greener/SpongeGuard on Duty
3,2,Club SpongeBob/My Pretty Seahorse
3,3,Just One Bite/The Bully
3,4,Nasty Patty/Idiot Box
3,5,Mermaidman and Barnacleboy IV/Doing Time
3,6,Snowball Effect/One Krabs Trash
3,7,As Seen on TV/Can You Spare a Dime?
3,8,No Weenies Allowed/Squilliam Returns
3,9,Krab Borg/Rock-a-Bye Bivalve
3,10,Wet Painters/Krusty Krab Training Video
3,11,SpongeBob's House Party
3,12,Chocolate with Nuts/Mermaidman and Barnacleboy V
3,13,New Student Starfish/Clams
3,14,SpongeBob B.C. (UGH)
3,15,The Great Snail Race/Mid-Life Crustacean
3,16,Born Again Krabs/I Had an Accident
3,17,Krabby Land/The Camping Episode
3,18,Missing Identity/Plankton's Army
3,19,Lost Episode (The Sponge Who Could Fly)
3,20,SpongeBob Meets the Strangler/Pranks a Lot
4,1,Fear of a Krabby Patty/Shell of a Man
4,2,The Lost Mattress/Krabs vs. Plankton
4,3,Have You Seen This Snail?
4,4,Skill Crane/Good Neighbors
4,5,Selling Out/Funny Pants
4,6,Dunces and Dragons
4,7,Enemy In-Law/Mermaidman and Barnacleboy VI: The Motion Picture
4,8,Patrick SmartPants/SquidBob TentaclePants
4,9,"Krusty Towers/Mrs. Puff, You're Fired"
4,10,Ghost Host/Chimps Ahoy
4,11,Whale of a Birthday/Karate Island
4,12,All That Glitters/Wishing You Well
4,13,New Leaf/Once Bitten
4,14,Bummer Vacation/Wigstruck
4,15,Squidtastic Voyage/That's No Lady
4,16,The Thing/Hocus Pocus
4,17,Driven to Tears/Rule of Dumb
4,18,Born to Be Wild/Best Frenemies
4,19,The Pink Purloiner/Squid Wood
4,20,Best Day Ever/The Gift of Gum
5,1,Friend or Foe
5,2,The Original Fry Cook/Night Light
5,3,Rise and Shine/Waiting/Fungus Among Us
5,4,Spy Buddies/Boat Smarts/Good Ol' Whatshisname
5,5,New Digs/Krabs à la Mode
5,6,"Roller Cowards/Bucket, Sweet Bucket"
5,7,To Love a Patty/Breath of Fresh Squidward
5,8,Money Talks/SpongeBob vs. Patty Gadget/Slimy Dancing
5,9,The Krusty Sponge/Sing a Song of Patrick
5,10,A Flea in Her Dome/The Donut of Shame/The Krusty Plate
5,11,Goo Goo Gas/Le Big Switch
5,12,Atlantis SquarePantis
5,13,Picture Day/Pat No Pay/Blackjack
5,14,Blackened Sponge/Mermaidman vs. SpongeBob
5,15,The Inmates of Summer/To Save a Squirrel
5,16,Pest of the West
5,17,"20,000 Patties Under the Sea/The Battle of Bikini Bottom"
5,18,Whatever Happened to SpongeBob? (WhoBob WhatPants)
5,19,The Two Faces of Squidward/SpongeHenge
5,20,Banned in Bikini Bottom/Stanley S. SquarePants
6,1,House Fancy/Krabby Road
6,2,Penny Foolish/Nautical Novice
6,3,Spongicus/Suction Cup Symphony
6,4,Not Normal/Gone
6,5,The Splinter/Slide Whistle Stooges
6,6,A Life in a Day/Sun Bleached
6,7,Giant Squidward/No Nose Knows
6,8,The Patty Caper/Plankton's Regular
6,9,Boating Buddies/The Krabby Kronicle
6,10,The Slumber Party/Grooming Gary
6,11,SpongeBob SquarePants vs. The Big One
6,12,Porous Pockets/Choir Boys
6,13,Krusty Krushers/The Card
6,14,Dear Vikings/Ditchin
6,15,Grandpappy the Pirate/Cephalopod Lodge
6,16,Squid's Visit/To Squarepants or Not to Squarepants
6,17,Shuffleboarding/Professor Squidward
6,18,Pets or Pests/Komputer Overload
6,19,Gullible Pants/Overbooked
6,20,No Hat for Pat/Toy Store of Doom
6,21,Sand Castles in the Sand/Shell Shocked
6,22,Chum Bucket Supreme/Single Cell Anniversary
6,23,Pineapple Fever/Chum Caverns
6,24,The Clash of Triton
7,1,Tenacle-Vision/I Heart Dancing
7,2,Growth Spout/Stuck in the Wringer
7,3,Someone's in the Kitchen with Sandy/The Inside Job
7,4,Greasy Buffoons/Model Sponge
7,5,A Pal for Gary/Keep Bikini Bottom Beautiful
7,6,Square Roots: The Story of SpongeBob SquarePants
7,7,To SquarePants or Not to SquarePants
7,8,Chum Caverns
7,9,Goo Goo Gas/No Hat for Pat
7,10,Stuck in the Wringer/Overbooked
7,11,The Curse of Bikini Bottom/Squidward in Clarinetland
7,12,Truth or Square
7,13,Rodeo Daze/Gary in Love
7,14,Back to the Past/The Bad Guy Club for Villains
7,15,A Day Without Tears
7,16,Summer Job
7,17,Squidward in Clarinetland
7,18,One Coarse Meal
7,19,The Play's the Thing
7,20,Spongebob's Last Stand
7,21,Enchanted Tiki Dreams
7,22,Neptune's Party
7,23,Gramma's Secret Recipe
7,24,The Cent of Money
8,1,Karate Star/That Sinking Feeling
8,2,You Don't Know Sponge/Hide and Then What Happens
8,3,"Yours, Mine and Mine/Kracked Krabs"
8,4,Buried in Time/Shellback Shenanigans
8,5,The Masterpiece/Whelk Attack
8,6,Krusty Dogs/The Wreck of the Mauna Loa
8,7,Mystery with a Twistery
8,8,The Abrasive Side/Earworm
8,9,New Fish in Town/Big Sister Sam
8,10,The Monster Who Came to Bikini Bottom/Welcome to the Bikini Bottom Triangle
8,11,The Main Drain/Trenchbillies
8,12,Sponge-Cano!/The Curse of the Hex
8,13,Tunnel of Glove/Love That Squid
8,14,Perfect Chemistry
8,15,Oral Report/A Friendly Game
8,16,Sentimental Sponge
8,17,Squidward's School for Grown Ups
8,18,The Other Patty
8,19,Frozen Face-Off
8,20,Barnacle Face/Pet Sitter Pat
8,21,Mermaidman Begins/Plankton's Good Eye
8,22,House Sittin' for Sandy/Smoothe Jazz at Bikini Bottom
8,23,Ghoul Fools
8,24,Home Sweet Rubble
8,25,Free Samples
8,26,For Here or to Go?
8,27,Karen 2.0
8,28,Extreme Spots
8,29,Squirrel Record
8,30,Demolition Doofus
8,31,Face Freeze
9,5,The Squarepants Battle/Back to the Other Side
9,15,Squid Baby/The Good Krabby Name
9,16,Gary's New Toy/Super Evil Aquatic Villain Team Up Is Go!
9,17,License to Milkshake
9,18,Chum Fricassee/Move It or Lose It
9,19,"Eek, an Urchin!/Patrick-Man!"
9,20,Squid Defense
9,21,Plankton's Pet
9,22,Evil Spatula
9,23,Jailbreak!
9,24,Safe Deposit Krabs
9,25,Don't Look Now/Seance Shmeance
9,26,"SpongeBob, You're Fired!"
10,2,The Other Spongebob Is Back: Part 1
10,3,The Other Spongebob Is Back: Part 2
10,4,The Bob Land/The Magic Gum
10,5,The Battle Begins/Where Is Patrick Star?
10,6,True Love's Kiss/The Other App
10,8,The Mask of Halloween/The Stars Are Here
10,9,Extreme Spots/Squirrel Record
